rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
190,"spotify:track:3SK45LddxlEkzI8OWO9Eyo","C. Tangana, Gipsy Kings, Nicolás Reyes, Tonino Baliardo","Ingobernable","Sony Music Entertainment",2,180,721,"43491"
191,"spotify:track:24PUqZJcXUjByIybGftoHZ","Quevedo","LUCES AZULES","Quevedo",17,-1,44,"43244"
192,"spotify:track:3tTzInzRZC7kRMK1sRfT14","Marta Santos","La Bachata","Virgin Music Spain",154,178,16,"43213"
193,"spotify:track:4epHhc2lvhFYzMlKA23O3G","6ix9ine, Anuel AA","MALA","Scumgang Records/TenThousand Projects, LLC",2,-1,186,"43170"
194,"spotify:track:7rJ1eWSl8VIoKW9Qj7ImSU","Quevedo","DONDE QUIERO ESTAR","Quevedo",18,-1,44,"43125"
195,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",96,-1,179,"43013"
196,"spotify:track:559YUIWxUc8Mx4lsla13Ff","Mora, YOVNGCHIMI","MODELITO","Rimas Entertainment LLC",13,196,62,"43008"
197,"spotify:track:1rEsfHhBFTuTPekF8M5O3f","TINI","La Triple T","5020 Records",113,183,88,"43008"
198,"spotify:track:54tOFoIdt8qXgIzlPpXtVF","Bryant Myers","Como Panas","eOne Music",40,-1,156,"42989"
199,"spotify:track:2XIc1pqjXV3Cr2BQUGNBck","Bad Bunny, ROSALÍA","LA NOCHE DE ANOCHE","Rimas Entertainment LLC",2,-1,728,"42890"
200,"spotify:track:5q2JbCNi4FcnglgPfxcV65","Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin","Sola (Remix)","Spiff TV, LLC / Real Hasta La Muerte, Inc.",10,187,530,"42827"
